Date,Station,Longitude,Latitude,Type,Value
"2022-04-04 00:00:13 UTC",3469958,-71.216580547,46.83791933,pm25_raw,3.67
"2022-04-04 00:00:13 UTC",3469958,-71.216580547,46.83791933,pm1,1
"2022-04-04 00:00:13 UTC",3469958,-71.216580547,46.83791933,pm10,7
"2022-04-04 00:00:13 UTC",3469958,-71.216580547,46.83791933,hum,44.37
"2022-04-04 00:00:13 UTC",3469958,-71.216580547,46.83791933,temp,6.18
"2022-04-04 00:00:13 UTC",3469958,-71.216580547,46.83791933,pres,101143.06
"2022-04-04 00:02:13 UTC",3469958,-71.216580547,46.83791933,pm25_raw,3
"2022-04-04 00:02:13 UTC",3469958,-71.216580547,46.83791933,pm1,2
"2022-04-04 00:02:13 UTC",3469958,-71.216580547,46.83791933,pm10,3
"2022-04-04 00:02:13 UTC",3469958,-71.216580547,46.83791933,hum,46.21
"2022-04-04 00:02:13 UTC",3469958,-71.216580547,46.83791933,temp,6.18
"2022-04-04 00:02:13 UTC",3469958,-71.216580547,46.83791933,pres,101139.56
"2022-04-04 00:04:14 UTC",3469958,-71.216580547,46.83791933,pm25_raw,4
"2022-04-04 00:04:14 UTC",3469958,-71.216580547,46.83791933,pm1,2
"2022-04-04 00:04:14 UTC",3469958,-71.216580547,46.83791933,pm10,4
"2022-04-04 00:04:14 UTC",3469958,-71.216580547,46.83791933,hum,45.4
"2022-04-04 00:04:14 UTC",3469958,-71.216580547,46.83791933,temp,6.13
"2022-04-04 00:04:14 UTC",3469958,-71.216580547,46.83791933,pres,101143.25
"2022-04-04 00:06:15 UTC",3469958,-71.216580547,46.83791933,pm25_raw,2.67
"2022-04-04 00:06:15 UTC",3469958,-71.216580547,46.83791933,pm1,1.33
"2022-04-04 00:06:15 UTC",3469958,-71.216580547,46.83791933,pm10,2.67
"2022-04-04 00:06:15 UTC",3469958,-71.216580547,46.83791933,hum,45.12
"2022-04-04 00:06:15 UTC",3469958,-71.216580547,46.83791933,temp,6.04
"2022-04-04 00:06:15 UTC",3469958,-71.216580547,46.83791933,pres,101138.38
"2022-04-04 00:08:15 UTC",3469958,-71.216580547,46.83791933,pm25_raw,3.67
"2022-04-04 00:08:15 UTC",3469958,-71.216580547,46.83791933,pm1,2
"2022-04-04 00:08:15 UTC",3469958,-71.216580547,46.83791933,pm10,3.67
"2022-04-04 00:08:15 UTC",3469958,-71.216580547,46.83791933,hum,46.16
"2022-04-04 00:08:15 UTC",3469958,-71.216580547,46.83791933,temp,6.03
"2022-04-04 00:08:15 UTC",3469958,-71.216580547,46.83791933,pres,101141.94
"2022-04-04 00:10:15 UTC",3469958,-71.216580547,46.83791933,pm25_raw,3.67
"2022-04-04 00:10:15 UTC",3469958,-71.216580547,46.83791933,pm1,2
"2022-04-04 00:10:15 UTC",3469958,-71.216580547,46.83791933,pm10,3.67
"2022-04-04 00:10:15 UTC",3469958,-71.216580547,46.83791933,hum,46.21
"2022-04-04 00:10:15 UTC",3469958,-71.216580547,46.83791933,temp,5.94
"2022-04-04 00:10:15 UTC",3469958,-71.216580547,46.83791933,pres,101145.03
"2022-04-04 00:12:17 UTC",3469958,-71.216580547,46.83791933,pm25_raw,3
"2022-04-04 00:12:17 UTC",3469958,-71.216580547,46.83791933,pm1,2
"2022-04-04 00:12:17 UTC",3469958,-71.216580547,46.83791933,pm10,7.67
"2022-04-04 00:12:17 UTC",3469958,-71.216580547,46.83791933,hum,46.92
"2022-04-04 00:12:17 UTC",3469958,-71.216580547,46.83791933,temp,5.91
"2022-04-04 00:12:17 UTC",3469958,-71.216580547,46.83791933,pres,101137.13
"2022-04-04 00:14:17 UTC",3469958,-71.216580547,46.83791933,pm25_raw,4
"2022-04-04 00:14:17 UTC",3469958,-71.216580547,46.83791933,pm1,2
"2022-04-04 00:14:17 UTC",3469958,-71.216580547,46.83791933,pm10,4
"2022-04-04 00:14:17 UTC",3469958,-71.216580547,46.83791933,hum,46.93
"2022-04-04 00:14:17 UTC",3469958,-71.216580547,46.83791933,temp,5.96
"2022-04-04 00:14:17 UTC",3469958,-71.216580547,46.83791933,pres,101139.63
"2022-04-04 00:16:17 UTC",3469958,-71.216580547,46.83791933,pm25_raw,3.67
"2022-04-04 00:16:17 UTC",3469958,-71.216580547,46.83791933,pm1,1
